0/   Common Name,1/   Latin Name,1b/  Genus,1c/  Cultivar (Y/N),1d/  Source,2/  Native Status Tier,3/  Native Status - Basis,22/  Native to (Level II Ecoregion),2/  Slug,3/  Drive Image ID,8/  Category,9/  Habit,10/  Flower,11/  Leaf,"12/  Height, Min (ft)","13/  Height, Max (ft)","14/  Spread, Min (ft)","15/  Spread, Max (ft)",4/  Light Req,5/  Water Req,6/  Soil Req,7/  Zone,24/  Drought Resistant,25/  Low Maintenance,52/  Shade Tolerance [USDA PLANTS],53/  Ellenberg-style L value (1-9) [where available],"50/  Coeff. of Conservatism C (0-10) [Chicago Region FQA, Swink&Wilhelm 1994]",51/  Coeff. of Wetness W (-5..+5) [Chicago Region FQA],16/  Bloom Color,17/  Bloom Time,18/  Fall Leaf Color,19/  Fall Color Time,20/  Attractive Seedhead Time,21/  Garden Attributes,23/  Context,28/  Growth Rate/Lifespan,27/  Summary Blurb,29/  Detailed Description,"30/  Maintenance, General","31/  Maintenance, Late Winter","32/  Maintenance, Early Spring","33/  Maintenance, Mid Spring","34/  Maintenance, Late Spring","35/  Maintenance, Early Summer","36/  Maintenance, Mid Summer","37/  Maintenance, Late Summer","38/  Maintenance, Early Fall","39/  Maintenance, Mid Fall","40/  Maintenance, Late Fall","41/  Maintenance, Winter","43/  [DOC] Pollinators Supported (documented, partial)","44/  [DOC] Pollinator Taxa Count (documented floor, not a census)",45/  [EST] CSR Strategy,46/  [EST] CSR Basis,47/  [REC] Companion - CSR-Matched,48/  [REC] Companion - Site-Matched (Soil/Water/Light),49/  [REC] Companion - Complementary Seasonal Interest,58/  Image - Spring (URL or Drive ID),59/  Image - Summer (URL or Drive ID),60/  Image - Fall (URL or Drive ID),61/  Image - Winter (URL or Drive ID)
Christmas Fern,Polystichum acrostichoides,Polystichum,N,Existing (enriched),Native,Native to eastern N. America incl. Upper Midwest.,,polystichum_acrostichoides,,fern,vase,,"dark green, evergreen",1,2,1,2,"part shade, full shade","dry, average","sand, clay, loam","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",FALSE,TRUE,,,9,5,,,,,,"textural, deer resistant","woodland, container",perennial,"Semi-evergreen/evergreen, dark and leathery leaves",,"Mulch around base to provide a steady amount of organic matter. If plants are looking weak, fortify with compost. Occasional deadleafing throughout the season may be required.",,Old fronds that look spent can be trimmed back to the base of the plant.,,,,,,,,,,"NON-FLOWERING (spore-bearing fern) - 0 pollinators. Provides evergreen cover, shelter & winter structure.",0,S  (Stress-tolerator),"Slow, long-lived evergreen woodland fern of shaded, often dry-rocky sites; classic stress-tolerator persisting where light and nutrients are limited.",Carex rosea; Heuchera villosa 'Autumn Bride'; Tiarella cordifolia,Asarum canadense; Carex rosea; Tiarella cordifolia,"Evergreen winter structure; pair with spring ephemerals (Mertensia, Dicentra) and summer Actaea racemosa",,,,
Wild Bergamot,Monarda fistulosa,Monarda,N,Existing (enriched),Native,Native prairie/edge species across the Upper Midwest.,Temperate Prairies,monarda_fistulosa,,flower,spreading clump,,coarse,2,4,1,3,"full sun, part sun","dry, average","average, rocky/poor, clay","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",TRUE,TRUE,Intermediate,,4,3,"lavender, purple, pink","Mid Summer, Late Summer",reddish bronze,October to November,"Fall, Winter","pollinator friendly, fragrant, attractive seedheads","prairie, border",Long-lived; spreads by rhizome and reseeds,Aromatic lavender pompoms; a top pollinator and hummingbird-moth plant.,,,,,,,,,,,,,,Bumblebees; long-tongued bees; hummingbird clearwing moths; ruby-throated hummingbird; butterflies; skippers; specialist bee (Dufourea monardae),6,CR  (Competitive-Ruderal),"Rhizomatous spreader of open prairie/edge; vigorous lateral growth (C) plus ready reseeding (R). Adaptable, moderate habitat fidelity.",Rudbeckia hirta; Echinacea purpurea; Pycnanthemum virginianum,Echinacea purpurea; Asclepias tuberosa; Schizachyrium scoparium,Penstemon digitalis (early summer); Symphyotrichum novae-angliae (fall); little bluestem (fall color),,,,
Black-eyed Susan,Rudbeckia hirta,Rudbeckia,N,Existing (enriched),Native,Native across the Upper Midwest.,Temperate Prairies,rudbeckia_hirta,,flower,upright clump,,coarse,1,3,1,2,"full sun, part sun","dry, average","average, clay, rocky/poor","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",TRUE,TRUE,Intolerant,,1,3,"yellow, gold","Early Summer, Mid Summer, Late Summer",tan to brown,October to November,"Fall, Winter","pollinator friendly, attractive seedheads","prairie, border, container",Short-lived (1-3 yr); reseeds freely,Golden daisies over a long season; short-lived but self-sows reliably.,,,,,,,,,,,,,,Sweat bees; mining bees (Andrena); bumblebees; small butterflies; hoverflies; beetles,6,R / CR  (Ruderal),"Short-lived pioneer that colonizes open, disturbed ground and recruits heavily from seed (R), with quick competitive growth in the gap year.",Monarda fistulosa; Agastache foeniculum; Echinacea purpurea,Echinacea purpurea; Schizachyrium scoparium; Asclepias tuberosa,Penstemon digitalis (early); Symphyotrichum novae-angliae & Solidago (fall),,,,
Purple Coneflower,Echinacea purpurea,Echinacea,N,Existing (enriched),Native,Native to central/eastern US incl. parts of the Midwest.,Temperate Prairies,echinacea_purpurea,,flower,upright clump,,fine,2,4,1,2,"full sun, part sun","dry, average","average, clay, loam","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",TRUE,TRUE,Intolerant,,3,5,"pink, purple","Early Summer, Mid Summer, Late Summer","tan to brown, seed heads ornamental",October to March,"Fall, Winter","pollinator friendly, attractive seedheads, deer resistant","prairie, border","Long-lived; clump-forming, light reseeding",Long-blooming prairie classic; seedheads feed goldfinches into winter.,,,,,,,,,,,,,,Bumblebees; sweat bees; mining bees (Andrena); butterflies; skippers; (seed: goldfinches),5,CSR  (generalist),"Robust, adaptable mid-successional perennial balancing competitive vigor, drought tolerance and modest reseeding - sits near the centre of CSR space.",Rudbeckia hirta; Monarda fistulosa; Liatris spicata,Asclepias tuberosa; Schizachyrium scoparium; Amsonia hubrichtii,Penstemon digitalis (early); New England aster & little bluestem (fall),,,,
Dense Blazing Star,Liatris spicata,Liatris,N,Existing (enriched),Native,"Native to eastern/central N. America; near-region in the Upper Midwest (local congeners L. aspera, L. pycnostachya).",Temperate Prairies,liatris_spicata,,flower,vertical spike,,coarse,2,4,1,1,full sun,"average, moist/well-drained","average, loam","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",TRUE,TRUE,Intermediate,,6,0,"purple, magenta","Mid Summer, Late Summer",tan to golden,October to November,Fall,"pollinator friendly, vertical accent","prairie, border",Long-lived corm,Vertical purple wands; a magnet for monarchs and swallowtails.,,,,,,,,,,,,,,Monarch & swallowtail butterflies; skippers; bumblebees; long-tongued bees,5,CSR / S,Cormous perennial of mesic prairie storing reserves below ground (S) while competing in the herb layer; persistent and slow-spreading.,Echinacea purpurea; Eutrochium maculatum; Veronicastrum virginicum,Echinacea purpurea; Sporobolus heterolepis; Zizia aurea,Zizia aurea (spring); Symphyotrichum & Sporobolus (fall),,,,
New England Aster,Symphyotrichum novae-angliae,Symphyotrichum,N,Existing (enriched),Native,Native across the Upper Midwest.,Temperate Prairies,symphyotrichum_novae-angliae,,flower,upright clump,,"lanceolate, alternate, green",3,5,2,3,"full sun, part sun","average, moist/well-drained","average, clay, loam","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",FALSE,TRUE,,,4,-3,"purple, pink","Late Summer, Early Fall, Mid Fall",tan to brown,October to November,"Fall, Winter","pollinator friendly, fall interest","prairie, border",Long-lived; robust clump,Keystone fall nectar source in vivid purple; vital for migrating monarchs.,,,,,,,,,,,,,,Bumblebees & many bees; migrating monarchs & other butterflies; flies; aster-specialist bees (Andrena),7,C / CSR,"Tall, robust late-season competitor of moist meadows that builds substantial biomass (C) with broad tolerance.",Eutrochium maculatum; Veronicastrum virginicum; Solidago rugosa 'Fireworks',Eutrochium maculatum; Liatris spicata; Panicum virgatum,Extends the season after summer bloomers fade; pair with Echinacea/Monarda (summer) and grasses (fall),,,,
Prairie Dropseed,Sporobolus heterolepis,Sporobolus,N,Existing (enriched),Native,Native prairie grass of the Upper Midwest.,Temperate Prairies,sporobolus_heterolepis,,grass,fountain clump,,medium,2,3,2,3,full sun,"dry, average","rocky/poor, average, loam","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",TRUE,TRUE,Intermediate,,10,4,yellow,"Late Summer, Early Fall","gold, orange","Mid Fall, Late Fall","Fall, Winter","textural, fall color, fragrant seed","prairie, border","Long-lived, slow-growing bunchgrass",Fine emerald fountains turning gold in fall; cilantro-scented bloom.,,,,,,,,,,,,,,WIND-POLLINATED - no nectar value. Larval host for skippers/leafhoppers; seed & winter cover for birds.,0,S / CS,"Slow, long-lived warm-season bunchgrass of lean prairie soils; classic stress-tolerator with high habitat fidelity.",Amsonia hubrichtii; Echinacea purpurea; Liatris spicata,Schizachyrium scoparium; Asclepias tuberosa; Bouteloua curtipendula,Structural all season; foliage and seedheads carry fall and winter interest behind summer forbs,,,,
Little Bluestem,Schizachyrium scoparium,Schizachyrium,N,Existing (enriched),Native,Native prairie grass of the Upper Midwest.,Temperate Prairies,schizachyrium_scoparium,,grass,upright clump,,medium,2,4,1,2,full sun,"dry, average","rocky/poor, average, sand, clay","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",TRUE,TRUE,Intolerant,,5,4,yellow,"Late Summer, Early Fall","red, orange, copper","Mid Fall, Late Fall, Winter","Fall, Winter","textural, fall color, attractive seedheads","prairie, border",Long-lived warm-season bunchgrass,Blue-green summer blades igniting to copper-red in fall; superb winter color.,,,,,,,,,,,,,,"WIND-POLLINATED - no nectar value. Larval host for many prairie skippers (Ottoe, Dakota, cobweb); seed & cover for birds.",0,S / CSR,"Drought-adapted warm-season bunchgrass thriving on poor, dry soils (S) with steady competitive presence in mixed prairie.",Asclepias tuberosa; Echinacea purpurea; Liatris spicata,Sporobolus heterolepis; Bouteloua curtipendula; Amsonia hubrichtii,Summer-flowering forbs ahead of it; carries red/copper structure through fall and winter,,,,
Sideoats Grama,Bouteloua curtipendula,Bouteloua,N,Existing (enriched),Native,Native short-grass-prairie species of the region.,Temperate Prairies,bouteloua_curtipendula,,grass,upright clump,,medium,1,3,1,2,full sun,"dry, average","rocky/poor, average, sand","4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",TRUE,TRUE,Intolerant,,8,5,"orange, purple (anthers)","Early Summer, Mid Summer","tan, bronze","Mid Fall, Late Fall","Late Summer, Fall","textural, distinctive seedhead","prairie, border",Long-lived bunchgrass,Oat-like seeds dangling along one side of the stem; tough short-grass-prairie staple.,,,,,,,,,,,,,,WIND-POLLINATED - no nectar value. Larval host for skippers; seed for birds.,0,S / CSR,"Drought-hardy short-grass-prairie bunchgrass of dry, lean soils; stress-tolerant with moderate competitive spread.",Asclepias tuberosa; Echinacea purpurea; Schizachyrium scoparium,Schizachyrium scoparium; Sporobolus heterolepis; Allium,Distinctive early-summer seed display; bronzes through fall,,,,
Switchgrass,Panicum virgatum,Panicum,N,Existing (enriched),Native,Native prairie grass of the Upper Midwest.,Temperate Prairies,panicum_virgatum,,grass,upright clump,,coarse,3,6,2,3,"full sun, part sun","average, moist/well-drained","average, clay, sand, loam","4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",TRUE,TRUE,Intolerant,,5,-1,pink (panicle),"Late Summer, Early Fall","gold, yellow","Mid Fall, Late Fall","Fall, Winter","vertical accent, attractive seedheads, screening","prairie, rain garden, screening",Long-lived warm-season bunchgrass,Upright vertical grass with airy pink panicles; strong winter structure.,,,,,,,,,,,,,,WIND-POLLINATED - no nectar value. Larval host for skippers/leafhoppers; abundant seed & cover for birds.,0,C / CSR,"Tall, vigorous warm-season grass that builds large clumps and tolerates a wide moisture range - competitive with broad amplitude.",Eutrochium maculatum; Symphyotrichum novae-angliae; Veronicastrum virginicum,Liatris spicata; Asclepias incarnata; Echinacea purpurea,Backdrop for summer forbs; gold fall color and persistent winter seedheads,,,,
Butterfly Weed,Asclepias tuberosa,Asclepias,N,Existing (enriched),Native,Native milkweed of the Upper Midwest.,Temperate Prairies,asclepias_tuberosa,,flower,upright clump,,coarse,1,2,1,2,full sun,"dry, average","rocky/poor, sand, average","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",TRUE,TRUE,Intolerant,,7,5,"orange, yellow","Early Summer, Mid Summer",,,"Late Summer, Fall","pollinator friendly, monarch host, deer resistant","prairie, border","Long-lived, deep taproot (resents transplanting)",Brilliant orange milkweed; monarch host and butterfly nectar plant.,,,,,,,,,,,,,,Monarch (host) & many butterflies; bumblebees; leafcutter & other bees; wasps; beetles,6,S / CSR,"Deep-taprooted dry-prairie perennial; slow, drought-proof and long-lived (S) with modest competitive presence.",Echinacea purpurea; Schizachyrium scoparium; Liatris spicata,Schizachyrium scoparium; Bouteloua curtipendula; Allium,Pair with spring Zizia and fall asters/grasses to bracket its early-summer bloom,,,,
